Nama Pekerjaan,Perusahaan,Lokasi,Gaji,Deskripsi Pekerjaan,Kategori Minat,Kemampuan Dibutuhkan,Kondisi Kesehatan,Posisi,Kualifikasi,Minimal Pengalaman,Tipe Pekerjaan
Asisten Dekorasi Acara,PT Event Nusantara,Bandung,Rp 2.700.000,"Membantu menyusun kursi, dekorasi, dan peralatan untuk acara resmi atau festival.","Kerajinan tangan, Lingkungan dan alam","Kerja tim, Ketelitian, Ketahanan fisik ringan","Membutuhkan istirahat berkala, Tidak cocok untuk mengangkat beban berat",Asisten Dekorasi Acara,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Perpustakaan,Perpustakaan Kota Sejahtera,Yogyakarta,Rp 2.400.000,"Menata buku, membantu pengunjung mencari koleksi, dan menjaga area perpustakaan tetap rapi.","Membaca cerita, Lingkungan dan alam","Menjaga kebersihan, Ketelitian, Kesabaran","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Asisten Perpustakaan,Lulusan SMP/SMK,0-1 tahun,Part-time
Perajin Kain Tradisional,Sanggar Tenun Nusantara,Medan,Rp 2.800.000,"Membantu proses menenun kain tradisional, mulai dari persiapan benang hingga penyelesaian kain.","Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Perajin Tenun,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Kayu,Bengkel Kayu Mandiri,Solo,Rp 3.200.000,Membuat furnitur seperti kursi dan meja kecil dari kayu sederhana.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Kayu,Lulusan SMA/SMK,0-1 tahun,Full-time
Penjaga Kios,Pasar Tradisional Nusantara,Bandung,Rp 2.500.000,"Menjaga kios di pasar, melayani pelanggan, dan memastikan stok barang tersedia.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Ketelitian, Kesabaran","Membutuhkan istirahat berkala, Tidak boleh berdiri terlalu lama",Penjaga Kios,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Gudang,PT Gudang Sejahtera,Surabaya,Rp 2.800.000,"Menyortir barang, memeriksa kualitas produk, dan menjaga kebersihan gudang.",Lingkungan dan alam,"Ketelitian, Koordinasi tangan dan mata, Ketahanan fisik ringan",Tidak boleh mengangkat beban berat,Staf Gudang,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Fotografi Produk,Studio Foto Nusantara,Jakarta,Rp 3.000.000,"Mengatur peralatan, membantu pengaturan pencahayaan, dan mengedit foto produk sederhana.","Fotografi, Teknologi dasar","Kreativitas, Koordinasi tangan dan mata, Ketelitian",Membutuhkan lingkungan kerja tenang,Asisten Fotografi Produk,Lulusan SMP/SMK,0-1 tahun,Full-time
Pengelola Stand Pameran,PT Pameran Kreatif,Medan,Rp 3.200.000,"Mengatur stand pameran, membantu pengunjung, dan menjaga estetika area pameran.","Seni, Sosial","Kreativitas, Berbicara dengan orang lain, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Pengelola Stand Pameran,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Alat Musik,Toko Musik Nusantara,Bandung,Rp 3.500.000,Memperbaiki alat musik sederhana seperti gitar atau keyboard.,"Musik, Seni","Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Alat Musik,Lulusan SMA/SMK,0-2 tahun,Full-time
Perancang Kerajinan Daun,Sanggar Daun Nusantara,Yogyakarta,Rp 2.600.000,Membuat kerajinan tangan dari bahan alami seperti daun kering atau bunga.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perancang Kerajinan Daun,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Manajemen Dokumen,PT Arsip Sejahtera,Jakarta,Rp 3.200.000,"Membantu mengatur dokumen perusahaan, menyortir, dan menjaga kerapian arsip.",Teknologi dasar,"Ketelitian, Mengatur waktu, Mengetik",Membutuhkan lingkungan kerja tenang,Asisten Manajemen Dokumen,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Layanan Pelanggan,PT Layanan Kreatif,Surabaya,Rp 3.000.000,Membantu pelanggan menjawab pertanyaan terkait produk atau layanan perusahaan.,"Teknologi dasar, Sosial","Berbicara dengan orang lain, Mendengarkan instruksi, Kreativitas",Membutuhkan lingkungan kerja tenang,Staf Layanan Pelanggan,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Kebersihan Kantor,PT Bersih Nusantara,Solo,Rp 2.400.000,"Membersihkan area kantor, menyapu, mengepel, dan menjaga kebersihan umum.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Petugas Kebersihan Kantor,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Dapur Restoran,Restoran Nusantara Rasa,Bandung,Rp 2.600.000,Membantu koki menyiapkan bahan masakan dan menjaga kebersihan dapur.,Memasak,"Mengikuti langkah sederhana, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Asisten Dapur Restoran,Lulusan SMP/SMK,0-1 tahun,Full-time
Staf Produksi Produk Kreatif,PT Produk Inovasi,Jakarta,Rp 2.800.000,Membantu produksi produk kreatif sederhana seperti aksesoris atau souvenir.,"Seni, Kerajinan tangan","Kreativitas, Koordinasi tangan dan mata, Ketelitian","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Staf Produksi Kreatif,Lulusan SMP/SMK,0-1 tahun,Full-time
Penata Dekorasi Meja,Dekorasi Nusantara Kreatif,Medan,Rp 3.200.000,Menata dekorasi meja untuk acara seperti pernikahan atau festival.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Dekorasi Meja,Lulusan SMP/SMK,0-1 tahun,Full-time
Pembersih Kolam,PT Kolam Bersih Nusantara,Surabaya,Rp 2.300.000,"Membersihkan kolam renang, memastikan kebersihan air, dan menjaga kualitas area sekitarnya.",Lingkungan dan alam,"Menjaga kebersihan, Ketahanan fisik ringan, Disiplin","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Pembersih Kolam,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Penyortir Barang,Gudang Barang Sejahtera,Solo,Rp 2.500.000,"Membantu menyortir barang sesuai kategori, mengecek kualitas, dan menjaga area kerja tetap rapi.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Koordinasi tangan dan mata, Kerja tim","Tidak boleh mengangkat beban berat, Membutuhkan lingkungan kerja tenang",Asisten Penyortir Barang,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Cuci Kendaraan,PT Cuci Kendaraan Sejahtera,Bandung,Rp 2.400.000,"Membersihkan kendaraan, mencuci bagian luar dan dalam, serta memastikan kebersihan ruang kerja.",Lingkungan dan alam,"Ketahanan fisik ringan, Menjaga kebersihan, Ketelitian","Tidak boleh berdiri terlalu lama, Membutuhkan istirahat berkala",Tukang Cuci Kendaraan,Lulusan SMP/SMK,0-1 tahun,Full-time
Penjaga Taman,Taman Hijau Nusantara,Jakarta,Rp 2.200.000,"Menjaga kebersihan taman, menyiram tanaman, dan merawat bunga.","Berkebun, Lingkungan dan alam","Menggunakan alat sederhana, Ketelitian, Kesabaran",Tidak cocok di suhu panas,Penjaga Taman,Lulusan SMP/SMK,0-1 tahun,Part-time
Asisten Manajemen Arsip,PT Arsip Digital,Bandung,Rp 3.000.000,"Mengatur arsip dokumen perusahaan, memastikan data tersusun rapi, dan melakukan pengarsipan elektronik.",Teknologi dasar,"Ketelitian, Mengetik, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Asisten Manajemen Arsip,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Perangkat Elektronik,PT Teknologi Mandiri,Surabaya,Rp 3.500.000,Memperbaiki perangkat elektronik kecil seperti charger atau kabel.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Elektronik,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Fotografer Acara,Studio Foto Nusantara,Medan,Rp 3.200.000,Membantu fotografer dalam mengatur pencahayaan dan peralatan serta mengambil foto.,"Fotografi, Seni","Kreativitas, Ketelitian, Mendengarkan instruksi",Membutuhkan lingkungan kerja tenang,Asisten Fotografer,Lulusan SMA/SMK,0-1 tahun,Part-time
Pengelola Warung Tradisional,Warung Tradisi Nusantara,Solo,Rp 2.500.000,"Melayani pelanggan, mengatur stok barang, dan menjaga kebersihan warung.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Menjaga kebersihan, Kerja tim","Membutuhkan istirahat berkala, Tidak boleh berdiri terlalu lama",Pengelola Warung,Lulusan SMA/SMK,0-1 tahun,Full-time
Tukang Kayu Tradisional,Bengkel Kayu Tradisional,Jakarta,Rp 3.200.000,Membuat furnitur sederhana dari kayu seperti meja atau rak.,"Kerajinan tangan, Seni","Kreativitas, Koordinasi tangan dan mata, Ketelitian","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Kayu,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Produksi Barang,PT Produksi Sejahtera,Bandung,Rp 2.700.000,Membantu proses produksi barang kecil seperti aksesoris dan mainan anak.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kreativitas","Membutuhkan istirahat berkala, Tidak alergi bahan kimia tertentu",Asisten Produksi,Lulusan SMA/SMK,0-1 tahun,Full-time
Penata Rak Barang,Toko Serba Ada Nusantara,Yogyakarta,Rp 2.400.000,"Menata barang di rak, menjaga kerapian toko, dan membantu pelanggan mencari barang.","Lingkungan dan alam, Teknologi dasar","Menjaga kebersihan, Ketelitian, Kerja tim","Tidak boleh berdiri terlalu lama, Membutuhkan lingkungan kerja tenang",Penata Rak,Lulusan SMA/SMK,0-1 tahun,Part-time
Penulis Konten Media Sosial,Studio Digital Nusantara,Surabaya,Rp 3.500.000,"Membuat konten kreatif untuk media sosial, menulis caption, dan merancang postingan sederhana.","Teknologi dasar, Seni","Kreativitas, Mengetik, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Penulis Konten,Lulusan SMA/SMK,0-1 tahun,Full-time
Tukang Roti,Toko Roti Tradisional,Solo,Rp 2.800.000,"Membuat adonan roti, memanggang, dan menata produk untuk dijual.",Memasak,"Ketelitian, Kreativitas, Mengikuti langkah sederhana",Tidak alergi bahan kimia tertentu,Tukang Roti,Lulusan SMA/SMK,0-1 tahun,Part-time
Staf Layanan Pelanggan,PT Layanan Konsumen,Jakarta,Rp 3.000.000,"Menjawab pertanyaan pelanggan, memberikan informasi produk, dan membantu pemesanan barang.","Sosial, Teknologi dasar","Berbicara dengan orang lain, Mendengarkan instruksi, Kreativitas",Membutuhkan lingkungan kerja tenang,Staf Layanan Pelanggan,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Desain Grafis,Studio Kreatif Digital,Bandung,Rp 3.200.000,Membantu membuat desain sederhana menggunakan software desain grafis.,"Seni, Teknologi dasar","Kreativitas, Mengetik, Pemecahan masalah sederhana",Membutuhkan lingkungan kerja tenang,Asisten Desain Grafis,Lulusan SMA/SMK,0-1 tahun,Part-time
Pengasuh Hewan,Pet Shop Nusantara,Medan,Rp 2.600.000,"Merawat hewan kecil seperti kucing dan anjing, memberi makan, dan memandikan hewan.",Merawat hewan,"Kesabaran, Koordinasi tangan dan mata, Ketahanan fisik ringan","Tidak alergi bahan kimia tertentu, Membutuhkan lingkungan kerja tenang",Pengasuh Hewan,Lulusan SMA/SMK,0-1 tahun,Part-time
Penata Dekorasi Acara,PT Dekorasi Nusantara,Surabaya,Rp 2.900.000,"Menata dekorasi untuk acara pernikahan atau festival, termasuk bunga dan hiasan ruangan.","Seni, Kerajinan tangan","Kreativitas, Koordinasi tangan dan mata, Ketelitian",Membutuhkan lingkungan kerja tenang,Penata Dekorasi,Lulusan SMA/SMK,0-1 tahun,Part-time
Staf Produksi Souvenir,PT Souvenir Tradisional,Yogyakarta,Rp 2.800.000,Membantu produksi souvenir seperti gantungan kunci dan hiasan kecil.,"Kerajinan tangan, Seni","Ketelitian, Koordinasi tangan dan mata, Kreativitas","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu dingin",Staf Produksi,Lulusan SMA/SMK,0-1 tahun,Part-time
Asisten Desain Interior,Studio Interior Nusantara,Solo,Rp 3.500.000,Membantu membuat sketsa desain interior sederhana untuk rumah atau kantor.,"Seni, Teknologi dasar","Kreativitas, Mengetik, Pemecahan masalah sederhana",Membutuhkan lingkungan kerja tenang,Asisten Desain,Lulusan SMA/SMK,0-1 tahun,Full-time
Petugas Gudang,PT Logistik Nusantara,Bandung,Rp 2.500.000,"Membantu memeriksa barang masuk dan keluar, serta menjaga kerapian gudang.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Koordinasi tangan dan mata, Menjaga kebersihan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Petugas Gudang,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Peralatan Musik,Toko Musik Tradisional,Jakarta,Rp 3.200.000,Memperbaiki alat musik sederhana seperti gitar atau piano kecil.,"Musik, Teknologi dasar","Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Musik,Lulusan SMA/SMK,0-1 tahun,Full-time
Pembersih Fasilitas Publik,PT Kebersihan Sejahtera,Bandung,Rp 2.400.000,"Membersihkan area publik seperti taman dan ruang tunggu, menjaga kebersihan lingkungan.",Lingkungan dan alam,"Ketahanan fisik ringan, Menjaga kebersihan, Ketelitian","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Pembersih Fasilitas,Lulusan SMA/SMK,0-1 tahun,Part-time
Tukang Perajin Keramik,Sanggar Keramik Nusantara,Yogyakarta,Rp 3.000.000,Membuat kerajinan keramik seperti pot bunga kecil dan hiasan meja.,"Kerajinan tangan, Seni","Kreativitas, Koordinasi tangan dan mata, Ketelitian","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Keramik,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Penata Bunga,Toko Bunga Nusantara,Jakarta,Rp 2.600.000,Membantu menata rangkaian bunga untuk dekorasi atau acara resmi.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Membutuhkan lingkungan kerja tenang, Tidak cocok di suhu panas",Asisten Penata Bunga,Lulusan SMA/SMK,0-1 tahun,Part-time
Penjaga Stand Buku,Toko Buku Tradisional,Bandung,Rp 2.400.000,"Menjaga stand buku, membantu pembeli mencari buku, dan menjaga stok tetap rapi.","Membaca cerita, Lingkungan dan alam","Berbicara dengan orang lain, Ketelitian, Menjaga kebersihan","Tidak boleh berdiri terlalu lama, Membutuhkan lingkungan kerja tenang",Penjaga Stand Buku,Lulusan SMA/SMK,0-1 tahun,Part-time
Perajin Tas Anyaman,Sanggar Anyaman Nusantara,Surabaya,Rp 3.000.000,Membuat tas dari bahan alami seperti bambu atau daun pandan.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Tas Anyaman,Lulusan SMA/SMK,0-1 tahun,Full-time
Staf Inventaris Barang,Gudang Nusantara,Medan,Rp 3.200.000,"Mencatat barang masuk dan keluar, memeriksa stok, dan menyusun laporan sederhana.","Teknologi dasar, Lingkungan dan alam","Mengetik, Ketelitian, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Staf Inventaris,Lulusan SMA/SMK,0-1 tahun,Full-time
Penata Dekorasi Natal,Dekorasi Musim Liburan,Solo,Rp 2.800.000,Menata dekorasi untuk acara liburan seperti pohon Natal dan ornamen lainnya.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Penata Dekorasi Natal,Lulusan SMA/SMK,0-1 tahun,Part-time
Asisten Dapur Kafe,Kafe Tradisional Nusantara,Jakarta,Rp 2.700.000,Membantu koki menyiapkan bahan makanan sederhana dan menjaga kebersihan dapur.,Memasak,"Mengikuti langkah sederhana, Kerja tim, Ketelitian","Tidak alergi bahan kimia tertentu, Membutuhkan istirahat berkala",Asisten Dapur Kafe,Lulusan SMA/SMK,0-1 tahun,Part-time
Teknisi Lampu Hias,Toko Lampu Nusantara,Bandung,Rp 3.000.000,Memperbaiki dan memasang lampu hias sederhana untuk dekorasi rumah atau kantor.,"Seni, Teknologi dasar","Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Lampu Hias,Lulusan SMA/SMK,0-1 tahun,Full-time
Penata Rak Perpustakaan,Perpustakaan Kota Mandiri,Surabaya,Rp 2.500.000,"Menata buku di rak, membantu pengunjung, dan memastikan area perpustakaan rapi.","Membaca cerita, Lingkungan dan alam","Ketelitian, Kesabaran, Menjaga kebersihan","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja tenang",Penata Rak Perpustakaan,Lulusan SMA/SMK,0-1 tahun,Part-time
Pembersih Area Hotel,Hotel Nusantara Sejahtera,Medan,Rp 2.800.000,"Membersihkan kamar tamu, ruang publik, dan menjaga kebersihan hotel secara keseluruhan.",Lingkungan dan alam,"Menjaga kebersihan, Ketelitian, Disiplin","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Pembersih Area Hotel,Lulusan SMA/SMK,0-1 tahun,Part-time
Asisten Produksi Mainan,PT Mainan Tradisional,Solo,Rp 3.000.000,Membantu merakit mainan sederhana seperti boneka dan permainan edukatif.,"Kerajinan tangan, Seni","Ketelitian, Kreativitas, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Asisten Produksi,Lulusan SMA/SMK,0-1 tahun,Full-time
Tukang Jahit Pakaian,Konveksi Nusantara,Jakarta,Rp 3.200.000,Menjahit pakaian sederhana seperti seragam atau pakaian santai.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Tukang Jahit Pakaian,Lulusan SMA/SMK,0-1 tahun,Full-time
Perajin Kerajinan Kulit,Sanggar Kulit Nusantara,Bandung,Rp 3.500.000,Membuat barang dari kulit seperti dompet atau tas kecil.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Kulit,Lulusan SMA/SMK,0-1 tahun,Full-time
Asisten Pelatih Musik,Sanggar Musik Nusantara,Surabaya,Rp 2.700.000,Membantu pelatih musik mengajar anak-anak bermain alat musik sederhana seperti gitar atau piano.,"Musik, Seni","Kesabaran, Kreativitas, Mendengarkan instruksi",Membutuhkan lingkungan kerja tenang,Asisten,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Audio Sederhana,Toko Musik Harmoni,Medan,Rp 3.200.000,Memasang dan memperbaiki perangkat audio sederhana seperti speaker kecil.,"Teknologi dasar, Musik","Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Audio,Lulusan SMA/SMK,0-2 tahun,Full-time
Staf Taman Bermain Anak,Taman Bermain Nusantara,Solo,Rp 2.900.000,"Mengawasi anak-anak di taman bermain, menjaga keamanan, dan membantu permainan sederhana.","Lingkungan dan alam, Sosial","Kesabaran, Kreativitas, Berbicara dengan orang lain",Membutuhkan istirahat berkala,Staff,Lulusan SMP/SMK,0-1 tahun,Part-time
Penjaga Kandang Ternak,Peternakan Nusantara,Jakarta,Rp 2.500.000,"Merawat hewan ternak seperti ayam atau kambing, memberi makan, dan menjaga kebersihan kandang.","Merawat hewan, Lingkungan dan alam","Kesabaran, Koordinasi tangan dan mata, Ketahanan fisik ringan","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Tukang Dekorasi Kue,Toko Kue Nusantara,Bandung,Rp 2.800.000,Mendekorasi kue sederhana dengan hiasan seperti buttercream atau cokelat.,"Memasak, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Tidak alergi bahan kimia tertentu,Staff,Lulusan SMA/SMK,0-1 tahun,Part-time
Pengolah Data,PT Data Digital,Surabaya,Rp 3.500.000,Membantu mengolah data sederhana menggunakan perangkat lunak dasar seperti Excel.,Teknologi dasar,"Mengetik, Kreativitas, Pemecahan masalah sederhana",Membutuhkan lingkungan kerja tenang,Staff,Lulusan SMA/SMK,0-1 tahun,Full-time
Teknisi Perangkat Komputer,PT Teknologi Nusantara,Medan,Rp 3.200.000,Memperbaiki perangkat keras komputer seperti keyboard atau monitor.,Teknologi dasar,"Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Komputer,Lulusan SMA/SMK,0-2 tahun,Full-time
Pembersih Kolam Renang,PT Kebersihan Kolam,Solo,Rp 2.400.000,Membersihkan kolam renang dan memastikan kualitas air tetap terjaga.,Lingkungan dan alam,"Menjaga kebersihan, Ketahanan fisik ringan, Disiplin","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Staff,Lulusan SMP/SMK,0-1 tahun,Full-time
Petugas Layanan Hotel,Hotel Sejahtera Nusantara,Jakarta,Rp 3.000.000,"Membantu tamu dengan kebutuhan dasar seperti bagasi, pemesanan kamar, dan pelayanan lainnya.","Sosial, Lingkungan dan alam","Berbicara dengan orang lain, Menjaga kebersihan, Kesabaran",Membutuhkan lingkungan kerja tenang,Petugas Layanan,Lulusan SMA/SMK,0-1 tahun,Part-time
Penata Dekorasi Toko,Dekorasi Nusantara Kreatif,Bandung,Rp 2.800.000,Mengatur tata letak dekorasi di toko untuk menciptakan suasana menarik.,"Seni, Lingkungan dan alam","Kreativitas, Ketelitian, Koordinasi tangan dan mata",Membutuhkan lingkungan kerja tenang,Dekorator Toko,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Barang Rotan,Sanggar Rotan Nusantara,Surabaya,Rp 3.000.000,"Membuat barang rotan seperti kursi, meja kecil, atau keranjang.","Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Rotan,Lulusan SMA/SMK,0-2 tahun,Full-time
Tukang Roti Tradisional,Toko Roti Tradisional,Medan,Rp 2.700.000,"Membuat roti dengan resep tradisional, mengatur bahan, dan menjaga kualitas produk.",Memasak,"Mengikuti langkah sederhana, Ketelitian, Kreativitas",Tidak alergi bahan kimia tertentu,Tukang Roti,Lulusan SMA/SMK,0-1 tahun,Full-time
Pemandu Wisata,PT Wisata Nusantara,Solo,Rp 3.500.000,"Memandu wisatawan, menjelaskan sejarah lokal, dan menjaga kenyamanan tur.","Lingkungan dan alam, Seni","Berbicara dengan orang lain, Kreativitas, Kesabaran",Membutuhkan lingkungan kerja tenang,Pemandu Wisata,Lulusan SMA/SMK,0-2 tahun,Full-time
Teknisi Peralatan Elektronik,Toko Elektronik Nusantara,Jakarta,Rp 3.200.000,Memperbaiki perangkat elektronik sederhana seperti kipas atau blender.,Teknologi dasar,"Pemecahan masalah sederhana, Ketelitian, Kreativitas",Membutuhkan lingkungan kerja tenang,Teknisi Elektronik,Lulusan SMA/SMK,0-2 tahun,Full-time
Staf Gudang Peralatan,Gudang Peralatan Mandiri,Bandung,Rp 2.500.000,"Membantu menyusun barang, memeriksa stok, dan menjaga area gudang tetap rapi.","Lingkungan dan alam, Teknologi dasar","Ketelitian, Koordinasi tangan dan mata, Menjaga kebersihan","Tidak boleh mengangkat beban berat, Membutuhkan istirahat berkala",Staff Gudang,Lulusan SMP/SMK,0-1 tahun,Full-time
Asisten Teknisi Komputer,PT Teknologi Digital,Surabaya,Rp 3.200.000,Membantu teknisi memperbaiki perangkat keras komputer seperti keyboard atau mouse.,Teknologi dasar,"Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Asisten Teknisi Komputer,Lulusan SMA/SMK,0-1 tahun,Full-time
Staf Pembersih Kolam,PT Kolam Bersih Nusantara,Medan,Rp 2.400.000,Membersihkan kolam renang dan area sekitar untuk menjaga kebersihan dan kenyamanan.,Lingkungan dan alam,"Menjaga kebersihan, Ketahanan fisik ringan, Disiplin","Tidak cocok di suhu panas, Membutuhkan istirahat berkala",Pembersih Kolam Renang,Lulusan SMP/SMK,0-1 tahun,Full-time
Perajin Keramik Tradisional,Sanggar Keramik Nusantara,Solo,Rp 3.200.000,Membuat kerajinan keramik sederhana seperti pot kecil atau hiasan rumah.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Keramik,Lulusan SMA/SMK,0-2 tahun,Full-time
Perajin Aksesoris Kayu,Sanggar Kayu Nusantara,Jakarta,Rp 3.000.000,Membuat aksesoris sederhana seperti gelang dan kalung dari bahan kayu.,"Kerajinan tangan, Seni","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Perajin Kayu,Lulusan SMA/SMK,0-2 tahun,Full-time
Staf Administrasi Dokumen,PT Administrasi Nusantara,Bandung,Rp 3.200.000,"Mengarsipkan dokumen fisik dan digital, memastikan kerapian data, dan membantu pembuatan laporan.",Teknologi dasar,"Mengetik, Ketelitian, Mengatur waktu",Membutuhkan lingkungan kerja tenang,Staf Administrasi Dokumen,Lulusan SMA/SMK,1-2 tahun,Full-time
Pengatur Koleksi Museum,Museum Sejarah Nusantara,Surabaya,Rp 3.500.000,"Menata koleksi museum, menjaga kebersihan, dan memberikan informasi sederhana kepada pengunjung.","Lingkungan dan alam, Seni","Kreativitas, Ketelitian, Kesabaran",Membutuhkan lingkungan kerja tenang,Pengatur Koleksi Museum,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Perajin Topeng,Sanggar Topeng Tradisional,Medan,Rp 3.000.000,Membuat topeng tradisional dari kayu atau bahan lainnya untuk seni pertunjukan.,"Seni, Kerajinan tangan","Kreativitas, Ketelitian, Koordinasi tangan dan mata","Tidak cocok di suhu dingin, Membutuhkan lingkungan kerja bebas tekanan",Tukang Perajin Topeng,Lulusan SMA/SMK,1-2 tahun,Full-time
Penjaga Kafe,Kafe Nusantara Tradisional,Solo,Rp 2.800.000,"Menyajikan makanan ringan, melayani pelanggan, dan menjaga kebersihan area kafe.","Sosial, Memasak","Berbicara dengan orang lain, Menjaga kebersihan, Ketelitian",Membutuhkan istirahat berkala,Penjaga Kafe,Lulusan SMP/SMK,0-1 tahun,Full-time
Teknisi Mesin Fotokopi,PT Teknologi Kantor,Jakarta,Rp 3.200.000,Memperbaiki mesin fotokopi sederhana dan memastikan fungsinya berjalan baik.,Teknologi dasar,"Pemecahan masalah sederhana, Kreativitas, Ketelitian",Membutuhkan lingkungan kerja tenang,Teknisi Mesin Fotokopi,Lulusan SMA/SMK,1-2 tahun,Full-time
Tukang Kue Kering,Toko Kue Nusantara,Bandung,Rp 2.900.000,Membuat kue kering seperti nastar atau kastengel dan menata hasil produksi.,"Memasak, Seni","Mengikuti langkah sederhana, Ketelitian, Kreativitas",Tidak alergi bahan kimia tertentu,Tukang Kue Kering,Lulusan SMA/SMK,1-2 tahun,Full-time
